44.00,-25.37,0.00
44.01,-25.44,0.00
44.02,-25.50,0.00
44.03,-25.57,0.00
44.04,-25.64,0.00
44.05,-25.70,0.00
44.07,-25.77,0.00
44.08,-25.84,0.00
44.09,-25.90,0.00
44.10,-25.97,0.00
44.11,-26.04,0.00
44.13,-26.10,0.00
44.14,-26.17,0.00
44.15,-26.23,0.00
44.16,-26.30,0.00
44.18,-26.37,0.00
44.19,-26.43,0.00
44.20,-26.50,0.00
44.21,-26.57,0.00
44.23,-26.63,0.00
44.24,-26.70,0.00
44.25,-26.76,0.00
44.27,-26.83,0.00
44.28,-26.90,0.00
44.29,-26.96,0.00
44.31,-27.03,0.00
44.32,-27.09,0.00
44.33,-27.16,0.00
44.35,-27.23,0.00
44.36,-27.29,0.00
44.38,-27.36,0.00
44.39,-27.42,0.00
44.41,-27.49,0.00
44.42,-27.56,0.00
44.44,-27.62,0.00
44.45,-27.69,0.00
44.47,-27.75,0.00
44.48,-27.82,0.00
44.50,-27.88,0.00
44.52,-27.95,0.00
44.53,-28.02,0.00
44.55,-28.08,0.00
44.57,-28.15,0.00
44.58,-28.21,0.00
44.60,-28.28,0.00
44.62,-28.34,0.00
44.64,-28.41,0.00
44.66,-28.47,0.00
44.68,-28.54,0.00
44.70,-28.60,0.00
44.72,-28.66,0.00
44.74,-28.73,0.00
44.76,-28.79,0.00
44.78,-28.86,0.00
44.80,-28.92,0.00
44.82,-28.98,0.00
44.84,-29.05,0.00
44.87,-29.11,0.00
44.89,-29.18,0.00
44.91,-29.24,0.00
44.94,-29.30,0.00
44.96,-29.37,0.00
44.98,-29.43,0.00
45.01,-29.49,0.00
45.03,-29.55,0.00
45.06,-29.62,0.00
45.08,-29.68,0.00
45.11,-29.74,0.00
45.14,-29.80,0.00
45.16,-29.87,0.00
45.19,-29.93,0.00
45.22,-29.99,0.00
45.24,-30.05,0.00
45.27,-30.11,0.00
45.30,-30.17,0.00
45.33,-30.23,0.00
45.36,-30.30,0.00
45.39,-30.36,0.00
45.42,-30.42,0.00
45.45,-30.48,0.00
45.48,-30.54,0.00
45.51,-30.60,0.00
45.54,-30.66,0.00
45.57,-30.72,0.00
45.60,-30.78,0.00
45.63,-30.84,0.00
45.66,-30.90,0.00
45.69,-30.96,0.00
45.72,-31.02,0.00
45.75,-31.08,0.00
45.79,-31.14,0.00
45.82,-31.20,0.00
45.85,-31.26,0.00
45.88,-31.32,0.00
45.91,-31.38,0.00
45.94,-31.44,0.00
45.97,-31.50,0.00
46.00,-31.56,0.00
46.03,-31.62,0.00
46.06,-31.68,0.00
46.09,-31.74,0.00
46.11,-31.80,0.00
46.14,-31.87,0.00
46.16,-31.93,0.00
46.19,-31.99,0.00
46.21,-32.06,0.00
46.23,-32.12,0.00
46.25,-32.18,0.00
46.27,-32.25,0.00
46.29,-32.31,0.00
46.30,-32.38,0.00
46.32,-32.45,0.00
46.33,-32.51,0.00
46.35,-32.58,0.00
46.36,-32.64,0.00
46.37,-32.71,0.00
46.38,-32.78,0.00
46.39,-32.84,0.00
46.40,-32.91,0.00
46.40,-32.98,0.00
46.41,-33.04,0.00
46.41,-33.11,0.00
46.42,-33.18,0.00
46.42,-33.25,0.00
46.42,-33.31,0.00
46.41,-33.38,0.00
46.41,-33.45,0.00
46.41,-33.52,0.00
46.40,-33.58,0.00
46.40,-33.65,0.00
46.39,-33.72,0.00
46.39,-33.79,0.00
46.38,-33.85,0.00
46.37,-33.92,0.00
46.37,-33.99,0.00
46.36,-34.05,0.00
46.35,-34.12,0.00
46.34,-34.19,0.00
46.33,-34.26,0.00
46.33,-34.32,0.00
46.32,-34.39,0.00
46.31,-34.46,0.00
46.31,-34.52,0.00
46.30,-34.59,0.00
46.30,-34.66,0.00
46.29,-34.73,0.00
46.28,-34.79,0.00
46.28,-34.86,0.00
46.27,-34.93,0.00
46.27,-34.99,0.00
46.26,-35.06,0.00
46.26,-35.13,0.00
46.25,-35.20,0.00
46.25,-35.26,0.00
46.24,-35.33,0.00
46.23,-35.40,0.00
46.23,-35.46,0.00
46.22,-35.53,0.00
46.21,-35.60,0.00
46.20,-35.67,0.00
46.19,-35.73,0.00
46.19,-35.80,0.00
46.18,-35.87,0.00
46.17,-35.93,0.00
46.16,-36.00,0.00
46.15,-36.07,0.00
46.14,-36.13,0.00
46.12,-36.20,0.00
46.11,-36.27,0.00
46.10,-36.33,0.00
46.09,-36.40,0.00
46.08,-36.47,0.00
46.07,-36.53,0.00
46.06,-36.60,0.00
46.04,-36.67,0.00
46.03,-36.73,0.00
46.02,-36.80,0.00
46.01,-36.86,0.00
46.00,-36.93,0.00
45.98,-37.00,0.00
45.97,-37.06,0.00
45.96,-37.13,0.00
45.95,-37.20,0.00
45.94,-37.26,0.00
45.93,-37.33,0.00
45.91,-37.40,0.00
45.90,-37.46,0.00
45.89,-37.53,0.00
45.88,-37.60,0.00
45.87,-37.66,0.00
45.86,-37.73,0.00
45.85,-37.80,0.00
45.84,-37.86,0.00
45.83,-37.93,0.00
45.82,-38.00,0.00
45.82,-38.06,0.00
45.81,-38.13,0.00
45.80,-38.20,0.00
45.79,-38.26,0.00
45.78,-38.33,0.00
45.78,-38.40,0.00
45.77,-38.47,0.00
45.76,-38.53,0.00
45.76,-38.60,0.00
45.75,-38.67,0.00
45.74,-38.73,0.00
45.73,-38.80,0.00
45.72,-38.87,0.00
45.72,-38.93,0.00
45.71,-39.00,0.00
45.70,-39.07,0.00
45.69,-39.14,0.00
45.68,-39.20,0.00
45.67,-39.27,0.00
45.66,-39.34,0.00
45.64,-39.40,0.00
45.63,-39.47,0.00
45.62,-39.53,0.00
45.60,-39.60,0.00
45.59,-39.67,0.00
45.57,-39.73,0.00
45.56,-39.80,0.00
45.54,-39.86,0.00
45.52,-39.93,0.00
45.50,-39.99,0.00
45.48,-40.06,0.00
45.46,-40.12,0.00
45.43,-40.18,0.00
45.41,-40.25,0.00
45.38,-40.31,0.00
45.36,-40.37,0.00
45.33,-40.43,0.00
45.30,-40.49,0.00
45.27,-40.55,0.00
45.24,-40.61,0.00
45.21,-40.67,0.00
45.18,-40.73,0.00
45.14,-40.79,0.00
45.11,-40.85,0.00
45.08,-40.91,0.00
45.05,-40.97,0.00
45.01,-41.03,0.00
44.98,-41.09,0.00
44.95,-41.14,0.00
44.91,-41.20,0.00
44.88,-41.26,0.00
44.85,-41.32,0.00
44.81,-41.38,0.00
44.78,-41.44,0.00
44.75,-41.50,0.00
44.72,-41.56,0.00
44.69,-41.62,0.00
44.66,-41.68,0.00
44.63,-41.74,0.00
44.60,-41.80,0.00
44.57,-41.86,0.00
44.54,-41.92,0.00
44.52,-41.98,0.00
44.49,-42.05,0.00
44.47,-42.11,0.00
44.45,-42.17,0.00
44.43,-42.24,0.00
44.41,-42.30,0.00
44.39,-42.37,0.00
44.37,-42.43,0.00
44.36,-42.50,0.00
44.34,-42.57,0.00
44.33,-42.63,0.00
44.32,-42.70,0.00
44.31,-42.76,0.00
44.30,-42.83,0.00
44.28,-42.90,0.00
44.27,-42.96,0.00
44.26,-43.03,0.00
44.25,-43.10,0.00
44.24,-43.16,0.00
44.23,-43.23,0.00
44.21,-43.30,0.00
44.20,-43.36,0.00
44.18,-43.43,0.00
44.16,-43.49,0.00
44.14,-43.56,0.00
44.12,-43.62,0.00
44.09,-43.68,0.00
44.06,-43.74,0.00
44.03,-43.80,0.00
44.00,-43.86,0.00
43.96,-43.92,0.00
43.92,-43.97,0.00
43.88,-44.02,0.00
43.83,-44.07,0.00
43.78,-44.12,0.00
43.73,-44.16,0.00
43.68,-44.20,0.00
43.62,-44.24,0.00
43.56,-44.28,0.00
43.51,-44.31,0.00
43.45,-44.34,0.00
43.38,-44.37,0.00
43.32,-44.40,0.00
42.78,-25.42,0.00
42.79,-25.48,0.00
42.79,-25.55,0.00
42.79,-25.62,0.00
42.79,-25.68,0.00
42.79,-25.75,0.00
42.80,-25.82,0.00
42.80,-25.88,0.00
42.80,-25.95,0.00
42.81,-26.02,0.00
42.81,-26.08,0.00
42.82,-26.15,0.00
42.82,-26.21,0.00
42.83,-26.28,0.00
42.84,-26.35,0.00
42.84,-26.41,0.00
42.85,-26.48,0.00
42.86,-26.54,0.00
42.87,-26.61,0.00
42.89,-26.67,0.00
42.90,-26.74,0.00
42.92,-26.80,0.00
42.93,-26.87,0.00
42.95,-26.93,0.00
42.97,-27.00,0.00
42.98,-27.06,0.00
43.00,-27.12,0.00
43.03,-27.19,0.00
43.05,-27.25,0.00
43.07,-27.31,0.00
43.09,-27.37,0.00
43.11,-27.44,0.00
43.14,-27.50,0.00
43.16,-27.56,0.00
43.19,-27.62,0.00
43.21,-27.68,0.00
43.24,-27.74,0.00
43.26,-27.80,0.00
43.29,-27.87,0.00
43.32,-27.93,0.00
43.34,-27.99,0.00
43.37,-28.05,0.00
43.40,-28.11,0.00
