0.36,0.87,0.00
0.46,0.88,0.00
0.56,0.89,0.00
0.66,0.90,0.00
0.77,0.90,0.00
0.87,0.91,0.00
0.97,0.91,0.00
1.08,0.91,0.00
1.18,0.91,0.00
1.28,0.91,0.00
1.39,0.91,0.00
1.49,0.91,0.00
1.59,0.91,0.00
1.70,0.92,0.00
1.80,0.92,0.00
1.90,0.93,0.00
2.00,0.94,0.00
2.11,0.95,0.00
2.21,0.96,0.00
2.31,0.97,0.00
2.41,0.98,0.00
2.51,0.99,0.00
2.62,1.00,0.00
2.72,1.01,0.00
2.82,1.02,0.00
2.93,1.03,0.00
3.03,1.04,0.00
3.13,1.05,0.00
3.24,1.05,0.00
3.34,1.06,0.00
3.45,1.06,0.00
3.55,1.06,0.00
3.65,1.05,0.00
3.76,1.04,0.00
3.86,1.03,0.00
3.96,1.01,0.00
4.06,0.99,0.00
4.16,0.97,0.00
4.25,0.93,0.00
4.35,0.90,0.00
4.44,0.86,0.00
4.54,0.82,0.00
4.63,0.77,0.00
4.72,0.72,0.00
4.82,0.68,0.00
4.91,0.63,0.00
5.00,0.58,0.00
5.10,0.53,0.00
5.19,0.49,0.00
5.28,0.45,0.00
5.38,0.41,0.00
5.47,0.37,0.00
5.57,0.33,0.00
5.66,0.30,0.00
5.76,0.27,0.00
5.86,0.25,0.00
5.96,0.22,0.00
6.06,0.20,0.00
6.16,0.18,0.00
6.26,0.17,0.00
6.36,0.16,0.00
6.46,0.15,0.00
6.56,0.14,0.00
6.67,0.14,0.00
6.77,0.13,0.00
6.87,0.13,0.00
6.98,0.13,0.00
7.08,0.13,0.00
7.19,0.13,0.00
7.29,0.13,0.00
7.40,0.13,0.00
7.50,0.12,0.00
7.60,0.12,0.00
7.71,0.11,0.00
7.81,0.11,0.00
7.91,0.10,0.00
8.01,0.08,0.00
8.12,0.07,0.00
8.22,0.05,0.00
8.32,0.04,0.00
8.42,0.02,0.00
8.52,-0.00,0.00
8.62,-0.02,0.00
8.72,-0.05,0.00
8.82,-0.07,0.00
8.92,-0.10,0.00
9.02,-0.12,0.00
9.12,-0.15,0.00
9.22,-0.18,0.00
9.31,-0.21,0.00
9.41,-0.24,0.00
9.51,-0.27,0.00
